Country Code,2-alpha code,Alternative conversion factor,Balance of Payments Manual in use,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Long Name,National accounts base year,National accounts reference year,PPP survey year,Short Name,SNA price valuation,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code,Income Group,Lending category,Other groups,Region
ETH,ET,,"IMF Balance of Payments Manual, 5th edition (1993).",Ethiopian birr,Actual,Budgetary central government,General Data Dissemination System (GDDS),2001-02,"Demographic and Health Survey (DHS), 2005",2010,2007,2011,2002,Federal Democratic Republic of Ethiopia,1999/2000,,2005,Ethiopia,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2005",Fiscal year end: July 7; reporting period for national accounts data: FY.,Country uses the 1993 System of National Accounts methodology.,General trade system,Ethiopia,,ET,Low income,IDA,HIPC,Sub-Saharan Africa
EUU,,,,,,,,,,,,,,European Union,,,,European Union,,,European Union aggregate.,,,European Union,,EU,,,,
FIN,FI,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2010,2010,2005,Republic of Finland,2005,,2005,Finland,Value added at basic prices (VAB),"Income survey (IS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,General trade system,Finland,Yes,FI,High income: OECD,,Euro area,Europe & Central Asia
FJI,FJ,,"IMF Balance of Payments Manual, 5th edition (1993).",Fijian dollar,Actual,Budgetary central government,General Data Dissemination System (GDDS),2009,,2010,2007,2010,2000,Republic of Fiji,2005,,2005,Fiji,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009",,,General trade system,Fiji,Yes,FJ,Lower middle income,IBRD,,East Asia & Pacific
FRA,FR,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010, ,2009,2006. Rolling census.,2010,2007,French Republic,Original chained constant price data are rescaled.,2005,2005,France,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 1994/95","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,France,Yes,FR,High income: OECD,,Euro area,Europe & Central Asia
FRO,FO,,"IMF Balance of Payments Manual, 5th edition (1993).",Danish krone,,,,,,,2011,2009,,Faeroe Islands,,,,Faeroe Islands,Value added at basic prices (VAB),,,,General trade system,Faeroe Islands,Yes,FO,High income: nonOECD,,,Europe & Central Asia
FSM,FM,,,U.S. dollar,,,,,,1983,2000,,,Federated States of Micronesia,2004,,,Micronesia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2000","In 2010, the government statistical office revised national accounts data for 1995-2008.",,,"Micronesia, Fed. Sts.",,FM,Lower middle income,IDA,,East Asia & Pacific
GAB,GA,1993,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,,General Data Dissemination System (GDDS),1974-75,"Demographic and Health Survey (DHS), 2000",2010,2003,2010,2000,Gabonese Republic,1991,,2005,Gabon,Value added at producer prices (VAP),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",,,Special trade system,Gabon,,GA,Upper middle income,IBRD,,Sub-Saharan Africa
GBR,GB,,"IMF Balance of Payments Manual, 5th edition (1993).",Pound sterling,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2006,United Kingdom of Great Britain and Northern Ireland,2005,,2005,United Kingdom,Value added at basic prices (VAB),"Income survey (IS), 1999",,Country uses the 1993 System of National Accounts methodology.,General trade system,United Kingdom,Yes,GB,High income: OECD,,,Europe & Central Asia
GEO,GE,1990-95,"IMF Balance of Payments Manual, 5th edition (1993).",Georgian lari,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005",2010,2002,2010,2005,Georgia,Original chained constant price data are rescaled.,1996,2005,Georgia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009",,Country uses the 1993 System of National Accounts methodology.,General trade system,Georgia,Yes,GE,Lower middle income,Blend,,Europe & Central Asia
GHA,GH,1973-87,"IMF Balance of Payments Manual, 5th edition (1993).",New Ghanaian cedi,Actual,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2008",2010,2010,2010,2000,Republic of Ghana,2006,,2005,Ghana,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2006","In 2010, the Ghana Statistical Service revised Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",,General trade system,Ghana,,GH,Lower middle income,IDA,HIPC,Sub-Saharan Africa
GIB,GI,,,Gibraltar pound,,,,,,,2001,,,Gibraltar,,,,Gibraltar,,,,,,Gibraltar,Yes,GI,High income: nonOECD,,,Europe & Central Asia
GIN,GN,,"IMF Balance of Payments Manual, 5th edition (1993).",Guinean franc,Estimate,Budgetary central government,General Data Dissemination System (GDDS),2000-01,"Demographic and Health Survey (DHS), 2005",2010,1996,2008,2000,Republic of Guinea,1996,,2005,Guinea,Value added at basic prices (VAB),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",,,Special trade system,Guinea,,GN,Low income,IDA,HIPC,Sub-Saharan Africa
GMB,GM,,"IMF Balance of Payments Manual, 5th edition (1993).",Gambian dalasi,Actual,Consolidated central government,General Data Dissemination System (GDDS),2001-02,"Multiple Indicator Cluster Survey (MICS), 2005/06",2010,2003,2010,2000,Republic of The Gambia,1987,,2005,The Gambia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2003",Fiscal year end: June 30; reporting period for national accounts data: CY.,,General trade system,"Gambia, The",,GM,Low income,IDA,HIPC,Sub-Saharan Africa
GNB,GW,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Estimate,,General Data Dissemination System (GDDS),1988,"Multiple Indicator Cluster Survey (MICS), 2010",2002,2009,2005,2000,Republic of Guinea-Bissau,2005,,2005,Guinea-Bissau,Value added at basic prices (VAB),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2002","In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",,General trade system,Guinea-Bissau,,GW,Low income,IDA,HIPC,Sub-Saharan Africa
GNQ,GQ,1965-84,,CFA franc,,,,,,2009,2002,,2000,Republic of Equatorial Guinea,2000,,2005,Equatorial Guinea,Value added at basic prices (VAB),,,,General trade system,Equatorial Guinea,,GQ,High income: nonOECD,IBRD,,Sub-Saharan Africa
GRC,GR,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro, ,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,,2009,2011,2010,2007,Hellenic Republic,Original chained constant price data are rescaled.,2005,2005,Greece,Value added at basic prices (VAB),"Integrated household survey (IHS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,Special trade system,Greece,Yes,GR,High income: OECD,,Euro area,Europe & Central Asia
GRD,GD,,"IMF Balance of Payments Manual, 5th edition (1993).",East Caribbean dollar,Actual,Budgetary central government,General Data Dissemination System (GDDS),2011,,2010,2011,2009,2005,Grenada,2006,,,Grenada,Value added at basic prices (VAB),,"Based on official government statistics, national accounts data have been revised for 2000 onward; the new base year is 2006.",,Special trade system,Grenada,Yes,GD,Upper middle income,Blend,,Latin America & Caribbean
GRL,GL,,,Danish krone,,,,,,,2010,2007,,Greenland,1990,,,Greenland,,,,,General trade system,Greenland,Yes,GL,High income: nonOECD,,,Europe & Central Asia
GTM,GT, ,"IMF Balance of Payments Manual, 5th edition (1993).",Guatemalan quetzal,Actual,Budgetary central government,General Data Dissemination System (GDDS),2008,"Reproductive Health Survey (RHS), 2002",2010,2002,2010,2000,Republic of Guatemala,2001,,,Guatemala,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2006",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Guatemala,Yes,GT,Lower middle income,IBRD,,Latin America & Caribbean
GUM,GU,,,U.S. dollar,,,,,,,2010,,,Guam,,,,Guam,,,,,General trade system,Guam,Yes,GU,High income: nonOECD,,,East Asia & Pacific
GUY,GY,,"IMF Balance of Payments Manual, 5th edition (1993).",Guyana dollar,Actual,,General Data Dissemination System (GDDS),,"Demographic and Health Survey (DHS), 2009",2010,2002,2010,2000,Co-operative Republic of Guyana,2006,,,Guyana,Value added at basic prices (VAB),"Integrated household survey (IHS), 1998","In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",,Special trade system,Guyana,,GY,Lower middle income,IDA,HIPC,Latin America & Caribbean
HIC,,,,,,,,,,,,,,High income,,,,High income,,,"High income group aggregate. High-income economies are those in which 2010 GNI per capita was $12,276 or more.",,,High income,,XD,,,,
HKG,HK,,"IMF Balance of Payments Manual, 5th edition (1993).",Hong Kong dollar,,Consolidated central government,Special Data Dissemination Standard (SDDS),,,2010,2006,2010,,Hong Kong Special Administrative Region of the People's Republic of China,,2009,2005,"Hong Kong SAR, China",Value added at basic prices (VAB),,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. December 2011 database update: base year change to 2009.",Country uses the 1993 System of National Accounts methodology.,General trade system,"Hong Kong SAR, China",Yes,HK,High income: nonOECD,,,East Asia & Pacific
HND,HN,1988-89,"IMF Balance of Payments Manual, 5th edition (1993).",Honduran lempira,Actual,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2005/06",2010,2001,2009,2000,Republic of Honduras,2000,,,Honduras,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Honduras,,HN,Lower middle income,IDA,HIPC,Latin America & Caribbean
HPC,,,,,,,,,,,,,,Heavily indebted poor countries (HIPC),,,,Heavily indebted poor countries (HIPC),,,Heavily indebted poor countries aggregate.,,,Heavily indebted poor countries (HIPC),,XE,,,,
HRV,HR, ,"IMF Balance of Payments Manual, 5th edition (1993).",Croatian kuna,,Consolidated central government,Special Data Dissemination Standard (SDDS),2003,,2010,2011,2011,2009,Republic of Croatia,Original chained constant price data are rescaled.,2000,2005,Croatia,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2008",,Country uses the 1993 System of National Accounts methodology.,General trade system,Croatia,Yes,HR,High income: nonOECD,IBRD,,Europe & Central Asia
HTI,HT,1991,"IMF Balance of Payments Manual, 5th edition (1993).",Haitian gourde,Actual,,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2005/06",,2003,1997,2000,Republic of Haiti,1986/87,,,Haiti,Value added at basic prices (VAB),"Integrated household survey (IHS), 2001","Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",,General trade system,Haiti,,HT,Low income,IDA,HIPC,Latin America & Caribbean
HUN,HU,,"IMF Balance of Payments Manual, 5th edition (1993).",Hungarian forint,,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,,2010,2001,2010,2007,Hungary,Original chained constant price data are rescaled.,2005,2005,Hungary,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2007","Based on data from the Organisation for Economic Co-operation and Development, national accounts data have been revised for 1991 onward.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Hungary,Yes,HU,High income: OECD,,,Europe & Central Asia
IDN,ID,,"IMF Balance of Payments Manual, 5th edition (1993).",Indonesian rupiah,Actual,Budgetary central government,Special Data Dissemination Standard (SDDS),2003,"Demographic and Health Survey (DHS), 2007",2010,2010,2010,2000,Republic of Indonesia,2000,,2005,Indonesia,Value added at producer prices (VAP),"Integrated household survey (IHS), 2011",Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Fiscal year end: March 31; reporting period for national accounts data: CY.,,Special trade system,Indonesia,,ID,Lower middle income,IBRD,,East Asia & Pacific
IMY,IM,,,Pound sterling,,,,,,,2006,,,Isle of Man,2005,2003,,Isle of Man,,,,,,Isle of Man,Yes,IM,High income: nonOECD,,,Europe & Central Asia
IND,IN,,"IMF Balance of Payments Manual, 5th edition (1993).",Indian rupee,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005/06",2010,2011,2010,2010,Republic of India,2004/05,,2005,India,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010","Fiscal year end: March 31; reporting period for national accounts data: FY. In 2010, data were revised from 2004 onward with official government data. GDP at current prices averaged 4 percent higher than previous estimates.",Country uses the 1993 System of National Accounts methodology.,General trade system,India,,IN,Lower middle income,Blend,,South Asia
IRL,IE,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2009,2011,2010,2000,Ireland,2005,,2005,Ireland,Value added at basic prices (VAB),"Integrated household survey (IHS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,General trade system,Ireland,Yes,IE,High income: OECD,,Euro area,Europe & Central Asia
IRN,IR,1980-2002,"IMF Balance of Payments Manual, 4th edition (1977).",Iranian rial,Actual,Consolidated central government,,2003,"Demographic and Health Survey (DHS), 2000",2007,2006,2010,2004,Islamic Republic of Iran,1997/98,,2005,Iran,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2005",Fiscal year end: March 20; reporting period for national accounts data: FY.,,Special trade system,"Iran, Islamic Rep.",Yes,IR,Upper middle income,IBRD,,Middle East & North Africa
IRQ,IQ,"1997, 2004","IMF Balance of Payments Manual, 5th edition (1993).",Iraqi dinar, ,,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2006",2003,1997,2009,2000,Republic of Iraq,1997,,2005,Iraq,Value added at basic prices (VAB),"Integrated household survey (IHS), 2007",,,,Iraq,,IQ,Lower middle income,IBRD,,Middle East & North Africa
ISL,IS,,"IMF Balance of Payments Manual, 5th edition (1993).",Iceland krona,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2009,Register based.,2010,2005,Republic of Iceland,2005,,2005,Iceland,Value added at basic prices (VAB),,,,General trade system,Iceland,Yes,IS,High income: OECD,,,Europe & Central Asia
ISR,IL, ,"IMF Balance of Payments Manual, 5th edition (1993).",Israeli new shekel,,Consolidated central government,Special Data Dissemination Standard (SDDS),1981,,,2009,2010,2004,State of Israel,2005,,2005,Israel,Value added at producer prices (VAP),"Expenditure survey/budget survey (ES/BS), 2001",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Israel,Yes,IL,High income: OECD,,,Middle East & North Africa
ITA,IT,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2012,2010,2000,Italian Republic,2005,,2005,Italy,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Italy,Yes,IT,High income: OECD,,Euro area,Europe & Central Asia
JAM,JM, ,"IMF Balance of Payments Manual, 5th edition (1993).",Jamaican dollar,Actual,Consolidated central government,General Data Dissemination System (GDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2005",2010,2011,2010,2000,Jamaica,2003,,,Jamaica,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2007",,,General trade system,Jamaica,,JM,Upper middle income,IBRD,,Latin America & Caribbean
JOR,JO,,"IMF Balance of Payments Manual, 5th edition (1993).",Jordanian dinar,Actual,Budgetary central government,Special Data Dissemination Standard (SDDS),2007,"Demographic and Health Survey (DHS), 2009",2010,2004,2010,2005,Hashemite Kingdom of Jordan,1994,,2005,Jordan,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2010",,,General trade system,Jordan,,JO,Upper middle income,IBRD,,Middle East & North Africa
JPN,JP,,"IMF Balance of Payments Manual, 5th edition (1993).",Japanese yen,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2009,2010,2011,2001,Japan,2005,,2005,Japan,Value added at basic prices (VAB),"Income survey (IS), 1993",Fiscal year end: March 31; reporting period for national accounts data: CY.,,General trade system,Japan,Yes,JP,High income: OECD,,,East Asia & Pacific
KAZ,KZ,1987-95,"IMF Balance of Payments Manual, 5th edition (1993).",Kazakh tenge,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),,"Multiple Indicator Cluster Survey (MICS), 2006",2010,2009,2009,2000,Republic of Kazakhstan,Original chained constant price data are rescaled.,2000,2005,Kazakhstan,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009",,Country uses the 1993 System of National Accounts methodology.,General trade system,Kazakhstan,Yes,KZ,Upper middle income,IBRD,,Europe & Central Asia
KEN,KE,,"IMF Balance of Payments Manual, 5th edition (1993).",Kenyan shilling,Actual,Budgetary central government,General Data Dissemination System (GDDS),1977-79,"Demographic and Health Survey (DHS), 2008/09; Malaria Indicator Survey (MIS), 2010",2010,2009,2010,2003,Republic of Kenya,2001,,2005,Kenya,Value added at basic prices (VAB),"Integrated household survey (IHS), 2005/06",Fiscal year end: June 30; reporting period for national accounts data: CY.,Country uses the 1993 System of National Accounts methodology.,General trade system,Kenya,,KE,Low income,IDA,,Sub-Saharan Africa
KGZ,KG,1990-95,"IMF Balance of Payments Manual, 5th edition (1993).",Kyrgyz som,Actual,Budgetary central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2005/06",2010,2009,2010,2000,Kyrgyz Republic,Original chained constant price data are rescaled.,1995,2005,Kyrgyz Republic,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2010",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Kyrgyz Republic,Yes,KG,Low income,IDA,HIPC,Europe & Central Asia
KHM,KH,,"IMF Balance of Payments Manual, 5th edition (1993).",Cambodian riel,Actual,Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2010",2010,2008,2010,2006,Kingdom of Cambodia,2000,,2005,Cambodia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2008",,,Special trade system,Cambodia,,KH,Low income,IDA,,East Asia & Pacific
KIR,KI,,"IMF Balance of Payments Manual, 5th edition (1993).",Australian dollar,,,General Data Dissemination System (GDDS),,,2009,2005,2009,,Republic of Kiribati,2006,,,Kiribati,Value added at basic prices (VAB),,,,General trade system,Kiribati,,KI,Lower middle income,IDA,,East Asia & Pacific
KNA,KN,,"IMF Balance of Payments Manual, 5th edition (1993).",East Caribbean dollar,Actual,Consolidated central government,General Data Dissemination System (GDDS),,,2010,2011,2008,,St. Kitts and Nevis,2006,,,St. Kitts and Nevis,Value added at basic prices (VAB),,"Based on official government statistics, national accounts data have been revised for 2000 onward; the new base year is 2006.",Country uses the 1993 System of National Accounts methodology.,Special trade system,St. Kitts and Nevis,Yes,KN,Upper middle income,IBRD,,Latin America & Caribbean
KOR,KR,,"IMF Balance of Payments Manual, 5th edition (1993).",Korean won, ,Consolidated central government,Special Data Dissemination Standard (SDDS),2000,,2010,2010,2010,2002,Republic of Korea,2005,,2005,Korea,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 1998",,Country uses the 1993 System of National Accounts methodology.,General trade system,"Korea, Rep.",Yes,KR,High income: OECD,IBRD,,East Asia & Pacific
KSV,,,,Euro,Actual,,General Data Dissemination System (GDDS),,,2010,1981,,,Republic of Kosovo,2008,,,Kosovo,,"Integrated household survey (IHS), 2009","Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",,,Kosovo,,KV,Lower middle income,IDA,,Europe & Central Asia
KWT,KW,,"IMF Balance of Payments Manual, 5th edition (1993).",Kuwaiti dinar,,Budgetary central government,General Data Dissemination System (GDDS),1970,"Family Health Survey (FHS), 1996",2003,2010,2009,2002,State of Kuwait,1995,,2005,Kuwait,Value added at producer prices (VAP),,Fiscal year end: June 30; reporting period for national accounts data: CY.,,Special trade system,Kuwait,Yes,KW,High income: nonOECD,,,Middle East & North Africa
LAC,,,,,,,,,,,,,,Latin America & Caribbean (developing only),,,,Latin America & Caribbean (developing only),,,Latin America and Caribbean regional aggregate (does not include high-income economies).,,,Latin America & Caribbean,,XJ,,,,
LAO,LA, ,"IMF Balance of Payments Manual, 5th edition (1993).",Lao kip,Preliminary,Budgetary central government,,2010-2011,"Multiple Indicator Cluster Survey (MICS), 2006",2010,2005,1975,2005,Lao People's Democratic Republic,1990,,2005,Lao PDR,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2008",,,Special trade system,Lao PDR,,LA,Lower middle income,IDA,,East Asia & Pacific
LBN,LB,,"IMF Balance of Payments Manual, 5th edition (1993).",Lebanese pound,Actual,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2000",2010,1970,2010,2005,Lebanese Republic,1997,,2005,Lebanon,Value added at basic prices (VAB),,,,General trade system,Lebanon,Yes,LB,Upper middle income,IBRD,,Middle East & North Africa
LBR,LR,,"IMF Balance of Payments Manual, 5th edition (1993).",Liberian dollar,Actual,Budgetary central government,General Data Dissemination System (GDDS),,"Demographic and Health Survey (DHS), 2007; Malaria Indicator Survey (MIS), 2009",2008,2008,1985,2000,Republic of Liberia,1992,,2005,Liberia,Value added at producer prices (VAP),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",,,Special trade system,Liberia,,LR,Low income,IDA,HIPC,Sub-Saharan Africa
LBY,LY,1986,"IMF Balance of Payments Manual, 5th edition (1993).",Libyan dinar,,,General Data Dissemination System (GDDS),2001,"Multiple Indicator Cluster Survey (MICS), 2000",2008,2006,2004,2000,Socialist People's Libyan Arab Jamahiriya,1999,,,Libya,Value added at basic prices (VAB),,,,General trade system,Libya,,LY,Upper middle income,IBRD,,Middle East & North Africa
LCA,LC,,"IMF Balance of Payments Manual, 5th edition (1993).",East Caribbean dollar,Actual,,General Data Dissemination System (GDDS),,,2010,2010,2008,2005,St. Lucia,2006,,,St. Lucia,Value added at basic prices (VAB),"Integrated household survey (IHS), 1995","Based on official government statistics, national accounts data have been revised for 2000 onward; the new base year is 2006.",,Special trade system,St. Lucia,Yes,LC,Upper middle income,Blend,,Latin America & Caribbean
LCN,,,,,,,,,,,,,,Latin America & Caribbean (all income levels),,,,Latin America & Caribbean (all income levels),,,Latin America and Caribbean regional aggregate (including high-income economies).,,,Latin America & Caribbean (all income levels),,ZJ,,,,
LDC,,,,,,,,,,,,,,Least developed countries: UN classification,,,,Least developed countries: UN classification,,,Least developed countries (UN classification) aggregate.,,,Least developed countries: UN classification,,XL,,,,
LIC,,,,,,,,,,,,,,Low income,,,,Low income,,,"Low income group aggregate. Low-income economies are those in which 2010 GNI per capita was $1,005 or less.",,,Low income,,XM,,,,
LIE,LI,,,Swiss franc,,,,,,,2010,,,Principality of Liechtenstein,1990,,,Liechtenstein,Value added at basic prices (VAB),,,,Special trade system,Liechtenstein,Yes,LI,High income: nonOECD,,,Europe & Central Asia
LKA,LK, ,"IMF Balance of Payments Manual, 5th edition (1993).",Sri Lankan rupee,Actual,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2006/07",2010,2001,2010,2005,Democratic Socialist Republic of Sri Lanka,2002,,2005,Sri Lanka,Value added at producer prices (VAP),"Expenditure survey/budget survey (ES/BS), 2007",,,General trade system,Sri Lanka,Yes,LK,Lower middle income,Blend,,South Asia
LMC,,,,,,,,,,,,,,Lower middle income,,,,Lower middle income,,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2010 GNI per capita was between $1,006 and $3,975.",,,Lower middle income,,XN,,,,
LMY,,,,,,,,,,,,,,Low & middle income,,,,Low & middle income,,,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2010 GNI per capita was $12,275 or less.",,,Low & middle income,,XO,,,,
LSO,LS,,"IMF Balance of Payments Manual, 5th edition (1993).",Lesotho loti,Actual,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2009/10",2010,2006,2008,2000,Kingdom of Lesotho,2004,,2005,Lesotho,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2002/03",Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year for constant price series is 2004.,Country uses the 1993 System of National Accounts methodology.,General trade system,Lesotho,,LS,Lower middle income,IDA,,Sub-Saharan Africa
LTU,LT,1990-95,"IMF Balance of Payments Manual, 5th edition (1993).",Lithuanian litas,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2009,2011,2010,2007,Republic of Lithuania,2000,,2005,Lithuania,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2008",,Country uses the 1993 System of National Accounts methodology.,General trade system,Lithuania,Yes,LT,Upper middle income,,,Europe & Central Asia
LUX,LU,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,1999,Grand Duchy of Luxembourg,,2005,2005,Luxembourg,Value added at basic prices (VAB),,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,Special trade system,Luxembourg,Yes,LU,High income: OECD,,Euro area,Europe & Central Asia
LVA,LV,1987-95,"IMF Balance of Payments Manual, 5th edition (1993).",Latvian lats,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2000,Republic of Latvia,2000,,2005,Latvia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2008",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Latvia,Yes,LV,Upper middle income,,,Europe & Central Asia
MAC,MO,,"IMF Balance of Payments Manual, 5th edition (1993).",Macao pataca,,Consolidated central government,General Data Dissemination System (GDDS),,,2009,2011,2010,,Macao Special Administrative Region of the People's Republic of China,,2009,2005,"Macao SAR, China",Value added at basic prices (VAB),,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",,General trade system,"Macao SAR, China",Yes,MO,High income: nonOECD,,,East Asia & Pacific
MAF,MF,,,Euro,,,,,,,,,,St. Martin (French part),,,,St. Martin (French part),,,,,,St. Martin (French part),,MF,High income: nonOECD,,,Latin America & Caribbean
